a;2;2021 06 24 14 08
a;2;2021 06 24 14 08;FA;P1;12;0;2;7;9;4;11;5;P2;0;7;9;11;5;12;4;2
sc;1;2021 07 19 11 45
sc;1;2021 07 19 11 46
sc;1;2021 07 19 11 46;OM;P1;12;9;0;7;2;5;P2;2;12;0;7;5;10
sc;1;2021 07 19 11 46;OM;P1;5;7;9;0;12;2;P2;9;6;2;0;12;5
a;30;2021 08 16 16 29
a;30;2021 08 16 16 31
a;30;2021 08 16 16 31;FA;P1;10;8;12;0;4;6;2;P2;8;12;6;10;2;4;0
a;30;2021 08 16 16 31;OM;P1;6;12;8;10;4;0;2;P2;9;12;2;8;6;4;0
a;30;2021 08 16 16 31;OM;P1;2;10;8;0;6;12;4;P2;12;7;2;0;10;4;6
a;2;2021 08 16 16 36
a;2;2021 08 16 16 36;FA;P1;0;12;7;2;11;5;9;4;P2;9;2;4;7;0;11;5;12
a;2;2021 08 16 16 36;OM;P1;9;7;2;4;11;5;0;12;P2;5;1;12;4;11;0;9;7
a;2;2021 08 16 16 41
a;2;2021 08 16 16 41;OM;P1;2;0;11;5;9;12;4;7;P2;0;9;10;5;4;2;7;12
a;2;2021 08 16 16 41;OM;P1;4;7;5;2;9;12;0;11;P2;6;9;12;4;5;11;0;2
a;2;2021 08 16 16 41;FA;P1;7;5;9;0;11;12;2;4;P2;5;9;7;0;12;2;4;11
aa;1;2021 10 01 14 05
aa;1;2021 10 01 14 06
aa;1;2021 10 01 14 06
aa;1;2021 10 01 14 06;OM;P1;12;0;2;9;7;5;P2;8;2;12;0;5;9
aa;1;2021 10 01 14 07
aa;1;2021 10 01 14 07
aa;1;2021 10 01 14 08
aa;1;2021 10 01 14 08;OM;P1;0;9;12;7;2;5;P2;7;5;0;8;12;2
aa;1;2021 10 01 14 08;OM;P1;2;9;12;7;0;5;P2;12;2;9;4;7;0
aa;1;2021 10 01 14 08;OM;P1;7;12;5;9;2;0;P2;12;2;4;9;7;0
aa;1;2021 10 01 14 08;FA;P1;9;0;12;2;7;5;P2;0;5;2;7;9;12
aa;1;2022 03 02 13 40
a;1;2022 07 27 10 27
ws;;2022 12 01 11 28
ws;;2022 12 01 11 31
