ld;1;2022 01 26 20 35
ld;1;2022 01 26 20 35;OM;P1;7.00;10.00;3.00;12.00;5.00;0.00;8.00;1.00;P2;12.00;10.00;8.00;6.00;3.00;0.00;7.00;1.00
ld;1;2022 01 26 20 35;FA;P1;10.00;0.00;3.00;12.00;8.00;1.00;7.00;5.00;P2;1.00;7.00;3.00;12.00;10.00;5.00;8.00;0.00
ld;1;2022 01 26 20 35;FA;P1;3.00;10.00;1.00;0.00;12.00;8.00;7.00;5.00;P2;8.00;3.00;1.00;7.00;12.00;10.00;0.00;5.00
ld;1;2022 01 26 20 35;OM;P1;1.00;7.00;10.00;0.00;12.00;5.00;3.00;8.00;P2;10.00;12.00;7.00;0.00;3.00;1.00;5.00;9.00
ld;1;2022 01 26 20 35;FA;P1;10.00;12.00;5.00;7.00;1.00;8.00;3.00;0.00;P2;1.00;10.00;5.00;0.00;8.00;12.00;3.00;7.00
ld;1;2022 01 26 20 35;OM;P1;7.00;0.00;10.00;12.00;1.00;5.00;8.00;3.00;P2;3.00;1.00;4.00;10.00;12.00;8.00;7.00;0.00
ld;1;2022 01 26 20 35;OM;P1;10.00;5.00;3.00;7.00;1.00;12.00;0.00;8.00;P2;9.00;5.00;7.00;10.00;0.00;3.00;12.00;1.00
ld;1;2022 01 26 20 35;FA;P1;5.00;12.00;8.00;10.00;3.00;0.00;1.00;7.00;P2;10.00;5.00;7.00;1.00;3.00;12.00;8.00;0.00
ld;2;2022 01 26 20 39
ld;2;2022 01 26 20 39;FA;P1;0.00;3.00;6.00;12.00;8.00;1.00;10.00;5.00;P2;8.00;6.00;10.00;1.00;0.00;5.00;3.00;12.00
ld;2;2022 01 26 20 39;FA;P1;10.00;6.00;12.00;8.00;0.00;1.00;5.00;3.00;P2;1.00;3.00;8.00;0.00;10.00;6.00;5.00;12.00
