ld;2;2022 09 05 21 56;OM;P1;2.00;11.00;6.00;4.00;0.00;9.00;12.00;7.00;P2;0.00;5.00;2.00;12.00;11.00;4.00;7.00;9.00
ld;2;2022 09 05 21 56;FA;P1;9.00;11.00;12.00;0.00;4.00;7.00;6.00;2.00;P2;9.00;4.00;6.00;2.00;12.00;11.00;7.00;0.00
ld;2;2022 09 05 21 56;FA;P1;11.00;7.00;6.00;0.00;4.00;9.00;2.00;12.00;P2;0.00;12.00;7.00;6.00;9.00;2.00;4.00;11.00
ld;2;2022 09 05 22 03
ld;2;2022 09 05 22 03;FA;P1;12.00;4.00;2.00;11.00;6.00;7.00;0.00;9.00;P2;7.00;0.00;2.00;11.00;9.00;4.00;6.00;12.00
ld;2;2022 09 05 22 03;FA;P1;2.00;9.00;7.00;12.00;6.00;0.00;4.00;11.00;P2;7.00;11.00;0.00;9.00;2.00;12.00;6.00;4.00
ld;2;2022 09 05 22 03;FA;P1;11.00;4.00;6.00;9.00;2.00;0.00;12.00;7.00;P2;0.00;12.00;9.00;2.00;7.00;11.00;4.00;6.00
ld;2;2022 09 05 22 03;OM;P1;6.00;9.00;12.00;2.00;11.00;7.00;4.00;0.00;P2;7.00;12.00;11.00;5.00;0.00;2.00;4.00;9.00
ld;2;2022 09 05 22 03;FA;P1;9.00;6.00;2.00;0.00;7.00;12.00;4.00;11.00;P2;7.00;0.00;4.00;2.00;11.00;12.00;9.00;6.00
ld;2;2022 09 05 22 03;OM;P1;9.00;7.00;0.00;11.00;12.00;6.00;4.00;2.00;P2;9.00;12.00;2.00;0.00;5.00;11.00;4.00;7.00
ld;2;2022 09 05 22 03;OM;P1;0.00;12.00;7.00;6.00;9.00;11.00;4.00;2.00;P2;4.00;7.00;9.00;0.00;5.00;2.00;12.00;11.00
ld;2;2022 09 05 22 03;OM;P1;4.00;9.00;0.00;7.00;2.00;6.00;11.00;12.00;P2;12.00;9.00;5.00;7.00;2.00;4.00;0.00;11.00
ld;2;2022 09 05 22 03;OM;P1;6.00;4.00;11.00;9.00;2.00;7.00;12.00;0.00;P2;1.00;11.00;12.00;4.00;6.00;0.00;9.00;7.00
ld;2;2022 09 05 22 03;OM;P1;12.00;0.00;9.00;11.00;4.00;6.00;2.00;7.00;P2;6.00;10.00;2.00;0.00;4.00;12.00;7.00;11.00
ld;2;2022 09 05 22 03;OM;P1;9.00;2.00;12.00;7.00;4.00;0.00;6.00;11.00;P2;6.00;1.00;9.00;12.00;4.00;11.00;0.00;7.00
ld;2;2022 09 05 22 03;OM;P1;4.00;11.00;2.00;0.00;7.00;6.00;9.00;12.00;P2;7.00;11.00;4.00;12.00;2.00;9.00;0.00;5.00
ld;2;2022 09 05 22 03;OM;P1;12.00;9.00;6.00;11.00;7.00;4.00;0.00;2.00;P2;12.00;9.00;5.00;4.00;0.00;11.00;7.00;2.00
ld;2;2022 09 05 22 03;FA;P1;4.00;6.00;9.00;11.00;12.00;2.00;7.00;0.00;P2;4.00;9.00;0.00;11.00;2.00;7.00;12.00;6.00
ld;2;2022 09 05 22 03;OM;P1;9.00;0.00;4.00;2.00;7.00;12.00;6.00;11.00;P2;2.00;0.00;9.00;7.00;12.00;5.00;11.00;4.00
ld;2;2022 09 05 22 03;FA;P1;12.00;9.00;2.00;0.00;4.00;11.00;6.00;7.00;P2;9.00;6.00;0.00;7.00;11.00;4.00;2.00;12.00
ld;2;2022 09 05 22 03;FA;P1;11.00;2.00;9.00;6.00;4.00;12.00;0.00;7.00;P2;11.00;0.00;7.00;2.00;4.00;6.00;9.00;12.00
ld;2;2022 09 05 22 03;FA;P1;12.00;7.00;2.00;6.00;0.00;9.00;4.00;11.00;P2;0.00;9.00;12.00;6.00;7.00;11.00;2.00;4.00
ld;2;2022 09 05 22 03;OM;P1;12.00;7.00;0.00;9.00;2.00;11.00;4.00;6.00;P2;6.00;0.00;1.00;12.00;9.00;7.00;4.00;11.00
ld;2;2022 09 05 22 03;OM;P1;12.00;7.00;9.00;4.00;11.00;0.00;2.00;6.00;P2;7.00;9.00;12.00;11.00;4.00;0.00;2.00;5.00
